original,replace,grep_pat
"^(.*[[:digit:]]{1,})-([[:alpha:]]{3,}.*)$",\1 \2,
"^([[:digit:]]{1,})([[:alpha:]]{3,}.*)$",\1 \2,
"^(.*)0([[:alpha:]]{3,}.*)$",\1O\2,
"^(.*[[:digit:]]{1,})([[:alpha:]]{3,}.*)$",\1 \2,
\[|\]\{|\}|\(|\)|\<|\>,,
"\.|,|:|\?", ,
 -|- | - |--|---,-,
-$,,
"^(Z{1,}|-)",,
"^.*3333 BR?O?A?D?WA?Y.*(A|B|C|D|E) ?-? ?[[:digit:]]{1,3} ?-? ?[[:alpha:]]{1}.*$",3333\1 BROADWAY,
^.*3333 BR?O?A?D?WA?Y.*TO?WE?RS? (A|B|C|D|E).*$,3333\1 BROADWAY,
[^ -~],,
^0 ,,
^[[:digit:]]{1} (REAR|RI?G?H?T) ,,
"^(.*[[:alnum:]]{1,})(STREET.*)$",\1 \2,
"^(.*[[:digit:]]{1,})(AVE.*)$",\1 \2,
 AVENUU?E, AVE,
 TERRA?$, TER, 
HALF (?!MOON),"""1/2""",
 (ROOM|RM).*$,,
 UNIT .*$,,
 (EAST|EST|EAS)$, E,
 (EAST|EST|EAS) , E ,
 (WEST|WE|WST)$, W,
 (WEST|WE|WST) , W ,
^SOUTH ,S ,
 SOUTH$, S,
^SOUTHWEST ,SW ,
 SOUTHWEST$, SW,
^NOR?TH ,N ,
 NOR?TH$, N,
 SHL$,,
 PVT$,,
 PV$,,
 PH$,,
 LEFT$,,
 GAR$,,
 AP$,,
 BA?SE?M?E?N?T?$,,
 SAINT , ST ,
 PROS.*PA?R?K W.*$, PROSPECT PARK W,
 PROS.*PA?R?K S.*$, PROSPECT PARK SW,
 C(O|0) ?.?P ?CITY.*$, CO-OP CITY BLVD,
 CO OP BL.*$, CO-OP CITY BLVD,
 FRIST, FIRST,
^.*BETH.*IS.*$,BETH ISRAEL MED CENTER,
 SW PROSPECT P.*$, PROSPECT PARK SW,
 DR?IP?(R|L)OCK.*$, DRIPROCK ST,
^.* CE?NTRA?L PA?R?K W.*$, CENTRAL PARK WEST,
 VAN ?WYCK E.*$, VAN WYCK EXPY,
 V(A|E|O)?N? ?CO?U?RTLA?ND?T?.*P.*S.*$, VAN CORTLANDT PARK SOUTH,
 L.ND.N B.*$, LINDEN BLVD,
METROPO?LI?T(O|A)?N,METROPOLITAN,
 METROPOLITAN OV.*$,METROPOLITAN OVAL,
 QUEENS B.*$, QUEENS BLVD,
" TEN[[:alpha:]]{1,}S.N.*$",TENNYSON DR,
 EASTC.* R.*$, EASTCHESTER RD,
 REMIN.*$,REMINGTON ST,
(-| )(DV|DRI|DRIV)$, DR,
(-| )(AV|AVEN|AVENU)$, AVE,
(-| )(STR|STRE|STREE)$, ST,
(-| )PLAC$, PL,
(-| )PLAZ$, PLZ,
 PRK?WY, PKWY,
 ROA?$, RD,
 SHO?RE? F.*$, SHORE FRONT PKWY,
 PRO$| PROME$| PROMEN$| PROMENA$| PROMENAD$, PROMENADE,
 SQU?A?R?$, SQ,
 ASTORI.* B.*$, ASTORIA BLVD,
 ASTORIA$, ASTORIA BLVD,
 DE ?K.?R.*$, DE KRUIF PLACE,
 MARGRET (CT|COURT).*$, MARGARET COURT,
" BO[[:alpha:]]{1,3}IE L", BONNIE LN,
